Binary,Compiler,Flags,N,M,T,Iterations,Section,Cycles,Performance,Cache Miss,Cache Access,Miss Rate,Variable
no_opt,g++,O3,2,64,4096,50,baum_welch,295439104,0.30964101488745377,2889,11580,0.2494818652849741,0
no_opt,g++,O3,2,64,4096,50,forward_vars,19989566,0.1721217959409424,393,1694,0.2319952774498229,0
no_opt,g++,O3,2,64,4096,50,backward_vars,13376094,0.2100655094080529,202,659,0.30652503793626706,0
no_opt,g++,O3,2,64,4096,50,update_initial,5903958,0.0027750874921535686,128,434,0.29493087557603687,0
no_opt,g++,O3,2,64,4096,50,update_transition,16201189,0.3478816277002879,173,562,0.30782918149466193,0
no_opt,g++,O3,2,64,4096,50,update_emission,210142443,0.37868165451945374,762,4184,0.18212237093690248,0
no_opt,g++,O3,4,64,4096,50,baum_welch,819510160,0.24847592371521057,3280,26430,0.12410139992432842,0
no_opt,g++,O3,4,64,4096,50,forward_vars,40303921,0.28516768877152177,482,3367,0.14315414315414315,0
no_opt,g++,O3,4,64,4096,50,backward_vars,36872399,0.2830466224885449,320,2181,0.14672168729940394,0
no_opt,g++,O3,4,64,4096,50,update_initial,5986184,0.0,117,462,0.2532467532467532,0
no_opt,g++,O3,4,64,4096,50,update_transition,64197499,0.3511723096876406,158,1414,0.11173974540311174,0
no_opt,g++,O3,4,64,4096,50,update_emission,640822879,0.24835907271032376,780,10745,0.07259190321079571,0
no_opt,g++,O3,8,64,4096,50,baum_welch,741524274,0.6617129623459905,1789,19535,0.09157921679037624,0
no_opt,g++,O3,8,64,4096,50,forward_vars,59421180,0.7076523219498502,370,3158,0.11716276124129196,0
no_opt,g++,O3,8,64,4096,50,backward_vars,50391762,0.7965746464670158,200,2486,0.08045052292839903,0
no_opt,g++,O3,8,64,4096,50,update_initial,7187346,0.0,26,387,0.06718346253229975,0
no_opt,g++,O3,8,64,4096,50,update_transition,74924713,1.2035753276759298,70,1780,0.03932584269662921,0
no_opt,g++,O3,8,64,4096,50,update_emission,512028959,0.6216608385230024,396,6086,0.06506736772921459,0
no_opt,g++,O3,16,64,4096,50,baum_welch,1747308640,0.752954207334544,4517,87760,0.051469917958067456,0
no_opt,g++,O3,16,64,4096,50,forward_vars,187574667,0.8581361789116224,780,12484,0.06247997436719,0
no_opt,g++,O3,16,64,4096,50,backward_vars,171134810,0.9194618908917479,280,11331,0.024710969905568793,0
no_opt,g++,O3,16,64,4096,50,update_initial,6180620,0.0,128,1561,0.08199871877001921,0
no_opt,g++,O3,16,64,4096,50,update_transition,272759412,1.3224480187690095,369,10087,0.036581738871815206,0
no_opt,g++,O3,16,64,4096,50,update_emission,1078064480,0.5905182072226329,801,23259,0.034438281955372116,0
no_opt,g++,O3,32,64,4096,50,baum_welch,4661382809,0.8514780104171444,16713,320992,0.052066718173661646,0
no_opt,g++,O3,32,64,4096,50,forward_vars,849234534,0.7418513199558604,3297,63076,0.05227027712600672,0
no_opt,g++,O3,32,64,4096,50,backward_vars,708469215,0.8793398538848297,2590,53304,0.04858922407324028,0
no_opt,g++,O3,32,64,4096,50,update_initial,7204766,0.0,473,7418,0.0637638177406309,0
no_opt,g++,O3,32,64,4096,50,update_transition,1070762435,1.3474889749937857,2623,58593,0.04476643967709453,0
no_opt,g++,O3,32,64,4096,50,update_emission,1990273699,0.6397277965536738,3104,80775,0.03842773135252244,0
no_opt,g++,O3,64,64,4096,50,baum_welch,14901163445,0.8918670728666718,31370,3554599,0.00882518675102311,0
no_opt,g++,O3,64,64,4096,50,forward_vars,3392720666,0.7347884902470188,7766,1048533,0.007406538468507906,0
no_opt,g++,O3,64,64,4096,50,backward_vars,3305034086,0.7500968956723795,7831,313910,0.024946640756904847,0
no_opt,g++,O3,64,64,4096,50,update_initial,7170113,0.0,663,108972,0.006084131703556877,0
no_opt,g++,O3,64,64,4096,50,update_transition,4243767357,1.3599619909607594,5579,596239,0.00935698604083262,0
no_opt,g++,O3,64,64,4096,50,update_emission,3917672661,0.6499947893426107,4516,921943,0.004898350548786639,0
no_opt,g++,O3,128,64,4096,50,baum_welch,54150261636,0.8861866113698937,148296,1166564077,0.0001271220354919261,0
no_opt,g++,O3,128,64,4096,50,forward_vars,15054347794,0.6588236854706481,45970,621175485,7.40048522681155e-05,0
no_opt,g++,O3,128,64,4096,50,backward_vars,14188859366,0.6970745755434391,39426,282882667,0.00013937227196744438,0
no_opt,g++,O3,128,64,4096,50,update_initial,11338590,0.0,1466,1709342,0.0008576399573637108,0
no_opt,g++,O3,128,64,4096,50,update_transition,17011587944,1.3570425813271745,34383,41175050,0.0008350445233217689,0
no_opt,g++,O3,128,64,4096,50,update_emission,7836159534,0.649927251978788,14826,217697298,6.810373916538e-05,0
