Binary,Flags,N,M,T,Iterations,Section,Cycles,Performance
no_opt,-O3,15,40,2100,50,baum_welch,333046066,14958.381162802865
no_opt,-O3,15,40,2100,50,forward_vars,43292990,16802.72025563492
no_opt,-O3,15,40,2100,50,backward_vars,43659258,16262.530160269787
no_opt,-O3,15,40,2100,50,update_initial,4766926,132.16064188955315
no_opt,-O3,15,40,2100,50,update_transition,66506074,24439.872965588074
no_opt,-O3,15,40,2100,50,update_emission,151050579,12700.05062344051
no_opt,-O3,15,50,2100,50,baum_welch,359183589,15194.12402775451
no_opt,-O3,15,50,2100,50,forward_vars,42561749,17091.402893241066
no_opt,-O3,15,50,2100,50,backward_vars,41280404,17199.68632089938
no_opt,-O3,15,50,2100,50,update_initial,4605557,136.79127193518613
no_opt,-O3,15,50,2100,50,update_transition,63907284,25433.720512985656
no_opt,-O3,15,50,2100,50,update_emission,183939514,13015.148012188398
no_opt,-O3,15,60,2100,50,baum_welch,381590475,15548.422690582096
no_opt,-O3,15,60,2100,50,forward_vars,42037945,17304.366329039156
no_opt,-O3,15,60,2100,50,backward_vars,41388472,17154.776818047307
no_opt,-O3,15,60,2100,50,update_initial,4975698,126.61540149743814
no_opt,-O3,15,60,2100,50,update_transition,61540405,26411.915878681655
no_opt,-O3,15,60,2100,50,update_emission,207172429,13851.505308170134
no_opt,-O3,15,70,2100,50,baum_welch,419465481,15278.444330440625
no_opt,-O3,15,70,2100,50,forward_vars,42396550,17157.999884424557
no_opt,-O3,15,70,2100,50,backward_vars,41351588,17170.07820836288
no_opt,-O3,15,70,2100,50,update_initial,5255745,119.86882925256077
no_opt,-O3,15,70,2100,50,update_transition,61938298,26242.245145321882
no_opt,-O3,15,70,2100,50,update_emission,242362678,13802.867783132848
no_opt,-O3,15,80,2100,50,baum_welch,447844042,15372.382692097977
no_opt,-O3,15,80,2100,50,forward_vars,42081993,17286.253528914374
no_opt,-O3,15,80,2100,50,backward_vars,41215005,17226.97837838428
no_opt,-O3,15,80,2100,50,update_initial,4924634,127.92828868094563
no_opt,-O3,15,80,2100,50,update_transition,61156038,26577.915331925196
no_opt,-O3,15,80,2100,50,update_emission,274232096,13933.270597180572
no_opt,-O3,15,90,2100,50,baum_welch,484588352,15188.31389492416
no_opt,-O3,15,90,2100,50,forward_vars,42305287,17195.01394707475
no_opt,-O3,15,90,2100,50,backward_vars,41634937,17053.226236417748
no_opt,-O3,15,90,2100,50,update_initial,4686574,134.42655551795406
no_opt,-O3,15,90,2100,50,update_transition,61751581,26321.593288437423
no_opt,-O3,15,90,2100,50,update_emission,310693803,13829.0495610561
no_opt,-O3,15,100,2100,50,baum_welch,516978191,15156.790240693152
no_opt,-O3,15,100,2100,50,forward_vars,42300747,17196.85943134763
no_opt,-O3,15,100,2100,50,backward_vars,41032870,17303.444774884134
no_opt,-O3,15,100,2100,50,update_initial,4798113,131.30161794855601
no_opt,-O3,15,100,2100,50,update_transition,61827185,26289.406512685317
no_opt,-O3,15,100,2100,50,update_emission,343342306,13899.394035059577
no_opt,-O3,20,10,2100,50,baum_welch,353410633,17201.774458212185
