Binary,Compiler,Flags,N,M,T,Iterations,Section,Cycles,Performance,Variable
no_opt,g++,O3,2,256,4096,50,baum_welch,1043970406,0.315019555257393,0
no_opt,g++,O3,2,256,4096,50,forward_vars,58021197,0.05927852539822644,0
no_opt,g++,O3,2,256,4096,50,backward_vars,54194403,0.05182437381956214,0
no_opt,g++,O3,2,256,4096,50,update_initial,46044799,0.0003558273758562829,0
no_opt,g++,O3,2,256,4096,50,update_transition,53640079,0.10503066186759345,0
no_opt,g++,O3,2,256,4096,50,update_emission,597033707,0.5309128283438778,0
no_opt,g++,O3,4,256,4096,50,baum_welch,1636171381,0.4147347055937779,0
no_opt,g++,O3,4,256,4096,50,forward_vars,74100739,0.15508919553420378,0
no_opt,g++,O3,4,256,4096,50,backward_vars,69446545,0.15024200267990293,0
no_opt,g++,O3,4,256,4096,50,update_initial,47338226,0.0,0
no_opt,g++,O3,4,256,4096,50,update_transition,73439681,0.3069516873309948,0
no_opt,g++,O3,4,256,4096,50,update_emission,1127141582,0.5625811522939627,0
no_opt,g++,O3,8,256,4096,50,baum_welch,2652275076,0.5431738483825348,0
no_opt,g++,O3,8,256,4096,50,forward_vars,113027683,0.3720218435336766,0
no_opt,g++,O3,8,256,4096,50,backward_vars,107825425,0.3722680805570671,0
no_opt,g++,O3,8,256,4096,50,update_initial,44231594,0.0,0
no_opt,g++,O3,8,256,4096,50,update_transition,134594901,0.6699803657495168,0
no_opt,g++,O3,8,256,4096,50,update_emission,2022244227,0.6271654882563302,0
no_opt,g++,O3,16,256,4096,50,baum_welch,5599390610,0.5742767158014004,0
no_opt,g++,O3,16,256,4096,50,forward_vars,317190929,0.5074609305740897,0
no_opt,g++,O3,16,256,4096,50,backward_vars,303626484,0.5182323818629735,0
no_opt,g++,O3,16,256,4096,50,update_initial,49234854,0.0,0
no_opt,g++,O3,16,256,4096,50,update_transition,458143292,0.7873174404133806,0
no_opt,g++,O3,16,256,4096,50,update_emission,4202689095,0.603562221392444,0
no_opt,g++,O3,32,256,4096,50,baum_welch,12435740671,0.6247333659922056,0
no_opt,g++,O3,32,256,4096,50,forward_vars,1024915666,0.6146819859420511,0
no_opt,g++,O3,32,256,4096,50,backward_vars,1151289579,0.5411125301256635,0
no_opt,g++,O3,32,256,4096,50,update_initial,50537129,0.0,0
no_opt,g++,O3,32,256,4096,50,update_transition,1653899887,0.8723755351462819,0
no_opt,g++,O3,32,256,4096,50,update_emission,8272446064,0.6132679349917609,0
no_opt,g++,O3,64,256,4096,50,baum_welch,29191357332,0.7156112282281729,0
no_opt,g++,O3,64,256,4096,50,forward_vars,3855157739,0.646639632869248,0
no_opt,g++,O3,64,256,4096,50,backward_vars,3660374220,0.6772709622023292,0
no_opt,g++,O3,64,256,4096,50,update_initial,49328559,0.0,0
no_opt,g++,O3,64,256,4096,50,update_transition,5985100681,0.9642754649593839,0
no_opt,g++,O3,64,256,4096,50,update_emission,15342387342,0.6613321741150445,0
no_opt,g++,O3,128,256,4096,50,baum_welch,94234797690,0.6705227194933027,0
no_opt,g++,O3,128,256,4096,50,forward_vars,15593428850,0.6360386736237297,0
no_opt,g++,O3,128,256,4096,50,backward_vars,21586003125,0.4581932122739837,0
no_opt,g++,O3,128,256,4096,50,update_initial,69591774,0.0,0
no_opt,g++,O3,128,256,4096,50,update_transition,26010649914,0.8875260686806075,0
no_opt,g++,O3,128,256,4096,50,update_emission,30522410054,0.6648511374133969,0
no_opt,g++,O3,256,256,4096,50,baum_welch,369791509284,0.5733037908211724,0
no_opt,g++,O3,256,256,4096,50,forward_vars,103822005846,0.381090547717677,0
no_opt,g++,O3,256,256,4096,50,backward_vars,97960344522,0.40333539339611674,0
no_opt,g++,O3,256,256,4096,50,update_initial,102859793,0.0,0
no_opt,g++,O3,256,256,4096,50,update_transition,106928102209,0.863576642541663,0
no_opt,g++,O3,256,256,4096,50,update_emission,60403445252,0.6719120614673246,0
no_opt,g++,O3,512,256,4096,50,baum_welch,1510251057298,0.507547571157072,0
no_opt,g++,O3,512,256,4096,50,forward_vars,455418368968,0.34704335626634636,0
no_opt,g++,O3,512,256,4096,50,backward_vars,533248531956,0.2961860110512825,0
no_opt,g++,O3,512,256,4096,50,update_initial,155495321,0.0,0
no_opt,g++,O3,512,256,4096,50,update_transition,396937775053,0.9305289613433289,0
no_opt,g++,O3,512,256,4096,50,update_emission,123881900302,0.6552328094912953,0
no_opt,g++,O3,1024,256,4096,50,baum_welch,8080248385896,0.35928603309836,0
no_opt,g++,O3,1024,256,4096,50,forward_vars,2893008997741,0.21837972243063183,0
no_opt,g++,O3,1024,256,4096,50,backward_vars,3290625189098,0.19192600114026273,0
no_opt,g++,O3,1024,256,4096,50,update_initial,258284171,0.0,0
no_opt,g++,O3,1024,256,4096,50,update_transition,1645739174996,0.8977404061190869,0
no_opt,g++,O3,1024,256,4096,50,update_emission,249975529272,0.6494347604855103,0
no_opt,g++,O3,256,2,4096,50,baum_welch,236382658031,0.7266467612039202,1
no_opt,g++,O3,256,2,4096,50,forward_vars,101721176137,0.38891874069287335,1
no_opt,g++,O3,256,2,4096,50,backward_vars,49538080993,0.7974948301405229,1
no_opt,g++,O3,256,2,4096,50,update_initial,95478111,0.0,1
no_opt,g++,O3,256,2,4096,50,update_transition,83955670398,1.0997470648891334,1
no_opt,g++,O3,256,2,4096,50,update_emission,581584799,0.6345687690506505,1
no_opt,g++,O3,256,4,4096,50,baum_welch,236855016382,0.7264685249076128,1
no_opt,g++,O3,256,4,4096,50,forward_vars,101084357577,0.39132243361064223,1
no_opt,g++,O3,256,4,4096,50,backward_vars,50590928972,0.7807877068013923,1
no_opt,g++,O3,256,4,4096,50,update_initial,89630291,0.0,1
no_opt,g++,O3,256,4,4096,50,update_transition,83297925068,1.108389644899672,1
no_opt,g++,O3,256,4,4096,50,update_emission,1318548030,0.5186042081455311,1
no_opt,g++,O3,256,8,4096,50,baum_welch,240891720567,0.7168878098986741,1
no_opt,g++,O3,256,8,4096,50,forward_vars,99659692352,0.3969326953496875,1
no_opt,g++,O3,256,8,4096,50,backward_vars,54786809463,0.7209180891008805,1
no_opt,g++,O3,256,8,4096,50,update_initial,103032987,0.0,1
no_opt,g++,O3,256,8,4096,50,update_transition,83825211893,1.1013230271441672,1
no_opt,g++,O3,256,8,4096,50,update_emission,2031343572,0.649180963859126,1
no_opt,g++,O3,256,16,4096,50,baum_welch,245960600292,0.7074142406240472,1
no_opt,g++,O3,256,16,4096,50,forward_vars,99635461857,0.39709825689155787,1
no_opt,g++,O3,256,16,4096,50,backward_vars,59603306984,0.6628823052990351,1
no_opt,g++,O3,256,16,4096,50,update_initial,108151779,0.0,1
no_opt,g++,O3,256,16,4096,50,update_transition,82251607225,1.122598081061388,1
no_opt,g++,O3,256,16,4096,50,update_emission,3874089159,0.6673798595970827,1
no_opt,g++,O3,256,32,4096,50,baum_welch,247047427726,0.7145822043724961,1
no_opt,g++,O3,256,32,4096,50,forward_vars,100822335624,0.3924280605991211,1
no_opt,g++,O3,256,32,4096,50,backward_vars,55683031948,0.7095664197110793,1
no_opt,g++,O3,256,32,4096,50,update_initial,93859527,0.0,1
no_opt,g++,O3,256,32,4096,50,update_transition,82231936031,1.1229249658574174,1
no_opt,g++,O3,256,32,4096,50,update_emission,7705342844,0.6643543811922822,1
no_opt,g++,O3,256,64,4096,50,baum_welch,252489667565,0.7192480282910938,1
no_opt,g++,O3,256,64,4096,50,forward_vars,99355103255,0.3982238802918146,1
no_opt,g++,O3,256,64,4096,50,backward_vars,55748326925,0.7087362503121434,1
no_opt,g++,O3,256,64,4096,50,update_initial,97786091,0.0,1
