Binary,Compiler,Flags,N,M,T,Iterations,Section,Cycles,Performance,Variable
no_opt,g++,Ofast,256,2,4096,50,update_initial,88012339,4.6538929047210074e-05,1
no_opt,g++,Ofast,256,2,4096,50,update_transition,87821917993,1.051466410371045,1
no_opt,g++,Ofast,256,2,4096,50,update_emission,537150977,0.03123370657110431,1
no_opt,g++,Ofast,256,4,4096,50,baum_welch,232090631121,0.7387233714514503,1
no_opt,g++,Ofast,256,4,4096,50,forward_vars,97416841852,0.4061527992060204,1
no_opt,g++,Ofast,256,4,4096,50,backward_vars,48263031841,0.8186678447008507,1
no_opt,g++,Ofast,256,4,4096,50,update_initial,110252913,3.715094584394337e-05,1
no_opt,g++,Ofast,256,4,4096,50,update_transition,84832583089,1.088518037546044,1
no_opt,g++,Ofast,256,4,4096,50,update_emission,990424388,0.03176141498648153,1
no_opt,g++,Ofast,256,8,4096,50,baum_welch,228927655723,0.7490581821162277,1
no_opt,g++,Ofast,256,8,4096,50,forward_vars,94771847987,0.4174881449333704,1
no_opt,g++,Ofast,256,8,4096,50,backward_vars,50372398406,0.7843857649488789,1
no_opt,g++,Ofast,256,8,4096,50,update_initial,81181467,5.045486551752015e-05,1
no_opt,g++,Ofast,256,8,4096,50,update_transition,81414100455,1.1342236338414138,1
no_opt,g++,Ofast,256,8,4096,50,update_emission,1823541168,0.03335126679191045,1
no_opt,g++,Ofast,256,16,4096,50,baum_welch,237709701382,0.7216316914736967,1
no_opt,g++,Ofast,256,16,4096,50,forward_vars,94433886608,0.41898225763216806,1
no_opt,g++,Ofast,256,16,4096,50,backward_vars,57335805111,0.689122480786786,1
no_opt,g++,Ofast,256,16,4096,50,update_initial,84718626,4.8348281758016236e-05,1
no_opt,g++,Ofast,256,16,4096,50,update_transition,81877016961,1.127810957108814,1
no_opt,g++,Ofast,256,16,4096,50,update_emission,3521103291,0.03394892285765666,1
no_opt,g++,Ofast,256,32,4096,50,baum_welch,253811188711,0.6763149224105128,1
no_opt,g++,Ofast,256,32,4096,50,forward_vars,101505686856,0.38979218045320035,1
no_opt,g++,Ofast,256,32,4096,50,backward_vars,56421598979,0.7002884173967855,1
no_opt,g++,Ofast,256,32,4096,50,update_initial,107657874,3.804645074079765e-05,1
no_opt,g++,Ofast,256,32,4096,50,update_transition,88186299797,1.0471217986985022,1
no_opt,g++,Ofast,256,32,4096,50,update_emission,7098062178,0.03338632010501388,1
no_opt,g++,Ofast,256,64,4096,50,baum_welch,268783347326,0.6395157182692494,1
no_opt,g++,Ofast,256,64,4096,50,forward_vars,98907070912,0.40003331049205704,1
no_opt,g++,Ofast,256,64,4096,50,backward_vars,69245510049,0.5705986168350939,1
no_opt,g++,Ofast,256,64,4096,50,update_initial,97194006,4.214251648398976e-05,1
no_opt,g++,Ofast,256,64,4096,50,update_transition,86034907936,1.0733061623392635,1
no_opt,g++,Ofast,256,64,4096,50,update_emission,13986673709,0.03373634145024581,1
no_opt,g++,Ofast,256,128,4096,50,baum_welch,322874808435,0.5338321013876779,1
no_opt,g++,Ofast,256,128,4096,50,forward_vars,107184265110,0.3691411511511925,1
no_opt,g++,Ofast,256,128,4096,50,backward_vars,89555301415,0.4411954583559926,1
no_opt,g++,Ofast,256,128,4096,50,update_initial,99928496,4.098930899550415e-05,1
no_opt,g++,Ofast,256,128,4096,50,update_transition,96936255801,0.9526032968878854,1
